날짜,종가,오픈,고가,저가,거래량,변동 %
2020년 05월 15일,1929.07,1937.63,1938.59,1913.21,687.56K,0.21%
2020년 05월 14일,1924.96,1922.44,1931.43,1913.49,744.64K,-0.80%
2020년 05월 13일,1940.42,1897.5,1940.42,1897.24,618.78M,0.95%
2020년 05월 12일,1922.17,1938.62,1938.62,1905.17,799.93M,-0.68%
2020년 05월 11일,1935.4,1953.51,1960.46,1932.87,591.28M,-0.54%
2020년 05월 08일,1945.82,1944.94,1956.89,1942.54,784.77M,0.89%
2020년 05월 07일,1928.61,1922,1938.5,1918.57,775.66M,-0.01%
2020년 05월 06일,1928.76,1919.45,1928.76,1902.55,1.08B,1.76%
2020년 05월 04일,1895.37,1906.42,1918.66,1894.29,1.15B,-2.68%
2020년 04월 29일,1947.56,1936.89,1957.51,1934.31,1.98B,0.70%
2020년 04월 28일,1934.09,1931.25,1941.79,1911.63,1.17B,0.59%
2020년 04월 27일,1922.77,1897.06,1929.82,1894.62,735.66M,1.79%
2020년 04월 24일,1889.01,1906.07,1908.29,1880.71,933.92M,-1.34%
2020년 04월 23일,1914.73,1907.45,1923.53,1895.98,683.72M,0.98%
2020년 04월 22일,1896.15,1855.51,1897.9,1844.85,820.36M,0.89%
2020년 04월 21일,1879.38,1886.78,1898.32,1841.66,1.17B,-1.00%
2020년 04월 20일,1898.36,1908.34,1925.25,1893.17,1.09B,-0.84%
2020년 04월 17일,1914.53,1893.31,1926.02,1893.19,1.67B,3.09%
2020년 04월 16일,1857.07,1839.51,1862.23,1828.13,878.34M,-0.00%
2020년 04월 14일,1857.08,1846.41,1864.46,1837.17,886.77M,1.72%
2020년 04월 13일,1825.76,1853.3,1853.3,1825.76,1.02B,-1.88%
2020년 04월 10일,1860.7,1835.76,1861.1,1824.43,992.55M,1.33%
2020년 04월 09일,1836.21,1838.09,1839.33,1818.3,920.57M,1.61%
2020년 04월 08일,1807.14,1815.75,1842.16,1801.8,907.49M,-0.90%
2020년 04월 07일,1823.6,1826.72,1838.97,1791.92,951.74M,1.77%
2020년 04월 06일,1791.88,1745.25,1794.19,1742.67,1.22B,3.85%
2020년 04월 03일,1725.44,1731.17,1743.91,1706.68,1.00B,0.03%
2020년 04월 02일,1724.86,1693.53,1726.76,1664.13,766.31M,2.34%
2020년 04월 01일,1685.46,1737.28,1762.44,1685.37,1.24B,-3.94%
2020년 03월 31일,1754.64,1739.29,1757.81,1722.62,1.04B,2.19%
2020년 03월 30일,1717.12,1670.34,1729.63,1659.95,767.78M,-0.04%
2020년 03월 27일,1717.73,1756.07,1759.05,1668.21,1.08B,1.87%
2020년 03월 26일,1686.24,1699.11,1735.75,1679.23,992.47M,-1.09%
2020년 03월 25일,1704.76,1668.19,1707.64,1645.28,872.81M,5.89%
2020년 03월 24일,1609.97,1523.69,1609.97,1508.68,679.29M,8.60%
2020년 03월 23일,1482.46,1474.45,1516.75,1458.41,647.53M,-5.34%
2020년 03월 20일,1566.15,1498.49,1566.82,1466.48,817.02M,7.44%
2020년 03월 19일,1457.64,1626.09,1626.09,1439.43,977.67M,-8.39%
2020년 03월 18일,1591.2,1686.12,1693.95,1591.12,728.01M,-4.86%
2020년 03월 17일,1672.44,1640.84,1722.97,1637.88,649.78M,-2.47%
2020년 03월 16일,1714.86,1805.43,1805.43,1714.38,682.00M,-3.19%
2020년 03월 13일,1771.44,1722.68,1809.31,1680.6,1.04B,-3.43%
2020년 03월 12일,1834.33,1887.97,1897.23,1808.56,850.34M,-3.87%
2020년 03월 11일,1908.27,1965.67,1967.7,1898.27,679.72M,-2.78%
2020년 03월 10일,1962.93,1942.85,1968.17,1934.72,638.56M,0.42%
2020년 03월 09일,1954.77,1981.02,1989.5,1946.9,666.87M,-4.19%
2020년 03월 06일,2040.22,2053.09,2062.57,2032.13,865.59M,-2.16%
2020년 03월 05일,2085.26,2078.11,2089.08,2059.99,675.20M,1.26%
2020년 03월 04일,2059.33,2005.81,2063.59,2005.81,606.29M,2.24%
2020년 03월 03일,2014.15,2051.85,2051.85,2009.39,615.69M,0.58%
2020년 03월 02일,2002.51,1997.03,2017.07,1969.34,528.10M,0.78%
2020년 02월 28일,1987.01,2020.17,2031.01,1980.82,671.55M,-3.30%
2020년 02월 27일,2054.89,2073.87,2085.4,2049.15,562.77M,-1.05%
2020년 02월 26일,2076.77,2064.07,2089.64,2059.13,810.94M,-1.28%
2020년 02월 25일,2103.61,2075.55,2105.49,2071.5,1.57B,1.18%
2020년 02월 24일,2079.04,2114.04,2120.06,2079.03,948.62M,-3.87%
2020년 02월 21일,2162.84,2165.65,2184.43,2160.28,635.47M,-1.49%
2020년 02월 20일,2195.5,2223.55,2228.18,2186.72,709.56M,-0.67%
2020년 02월 19일,2210.34,2222.51,2226,2191.2,591.16M,0.07%
2020년 02월 18일,2208.88,2225.98,2232.93,2205.21,470.42M,-1.48%
2020년 02월 17일,2242.17,2243.07,2250.05,2230.26,458.25M,-0.06%
2020년 02월 14일,2243.59,2232.71,2251.5,2221.9,597.22M,0.48%
2020년 02월 13일,2232.96,2245.72,2255.49,2230.3,638.67M,-0.24%
2020년 02월 12일,2238.38,2225.95,2242.24,2214.77,632.46M,0.69%
2020년 02월 11일,2223.12,2213.5,2233.32,2211.25,526.21M,1.00%
2020년 02월 10일,2201.07,2185.63,2203.39,2180.51,609.57M,-0.49%
2020년 02월 07일,2211.95,2221.49,2223.92,2198.14,800.34M,-0.72%
2020년 02월 06일,2227.94,2184.77,2229.99,2182.25,695.22M,2.88%
2020년 02월 05일,2165.63,2177.26,2181.52,2154.88,574.40M,0.36%
2020년 02월 04일,2157.9,2121.22,2162.32,2120.53,624.64M,1.84%
2020년 02월 03일,2118.88,2086.61,2126.73,2082.74,836.70M,-0.01%
2020년 01월 31일,2119.01,2160.6,2167.23,2119.01,710.51M,-1.35%
2020년 01월 30일,2148,2181.54,2187.45,2139.72,602.84M,-1.71%
2020년 01월 29일,2185.28,2188.18,2195.45,2172.33,692.30M,0.39%
2020년 01월 28일,2176.72,2192.22,2199.93,2166.23,808.88M,-3.09%
2020년 01월 23일,2246.13,2254.54,2260.63,2241.94,509.61M,-0.93%
2020년 01월 22일,2267.25,2238.53,2269.27,2235.13,608.51M,1.23%
2020년 01월 21일,2239.69,2259.81,2266.31,2238.25,770.32M,-1.01%
2020년 01월 20일,2262.64,2261.4,2277.23,2258.09,545.49M,0.54%
2020년 01월 17일,2250.57,2261.57,2268.71,2245.58,580.82M,0.11%
2020년 01월 16일,2248.05,2231.93,2249.09,2225.41,808.33M,0.77%
2020년 01월 15일,2230.98,2229.8,2238.21,2223.39,746.16M,-0.35%
2020년 01월 14일,2238.88,2243.06,2250.79,2232.94,835.90M,0.43%
2020년 01월 13일,2229.26,2204.49,2230.43,2204.49,488.29M,1.04%
2020년 01월 10일,2206.39,2189.48,2206.92,2188.1,594.54M,0.91%
2020년 01월 09일,2186.45,2182.2,2186.45,2172.16,592.60M,1.63%
2020년 01월 08일,2151.31,2156.27,2162.32,2137.72,913.83M,-1.11%
2020년 01월 07일,2175.54,2166.6,2181.62,2164.27,568.24M,0.95%
2020년 01월 06일,2155.07,2154.97,2164.42,2149.95,592.67M,-0.98%
2020년 01월 03일,2176.46,2192.58,2203.38,2165.39,631.56M,0.06%
2020년 01월 02일,2175.17,2201.21,2202.32,2171.84,494.68M,-1.02%
2019년 12월 30일,2197.67,2202.62,2208.04,2195.65,416.40M,-0.30%
2019년 12월 27일,2204.21,2183.7,2215.55,2177.4,490.17M,0.29%
2019년 12월 26일,2197.93,2192.22,2198.01,2183.9,571.31M,0.36%
2019년 12월 24일,2190.08,2206.23,2206.23,2187.58,569.97M,-0.62%
2019년 12월 23일,2203.71,2208.22,2209.2,2196.43,502.03M,-0.02%
2019년 12월 20일,2204.18,2205.57,2206.82,2194.8,646.68M,0.35%
2019년 12월 19일,2196.56,2199.42,2204.73,2186.59,643.14M,0.08%
2019년 12월 18일,2194.76,2194.92,2204.04,2187.32,591.11M,-0.04%
2019년 12월 17일,2195.68,2179.4,2196.01,2171.09,599.53M,1.27%
2019년 12월 16일,2168.15,2168.05,2175.01,2166.29,377.05M,-0.10%
2019년 12월 13일,2170.25,2164.63,2170.25,2159.45,540.03M,1.54%
2019년 12월 12일,2137.35,2120.13,2138.93,2120.13,584.64M,1.51%
2019년 12월 11일,2105.62,2098.28,2109.22,2092.48,668.73M,0.36%
2019년 12월 10일,2098,2081.22,2100.48,2080.16,500.06M,0.45%
2019년 12월 09일,2088.65,2091.94,2093.81,2084.31,393.13M,0.33%
2019년 12월 06일,2081.85,2072.44,2084.44,2070.17,440.19M,1.02%
2019년 12월 05일,2060.74,2078.31,2084.29,2053.56,472.19M,-0.39%
2019년 12월 04일,2068.89,2070.84,2072.91,2057.45,347.00M,-0.73%
2019년 12월 03일,2084.07,2075.02,2085.71,2066.6,450.04M,-0.38%
2019년 12월 02일,2091.92,2097.55,2103.87,2088.92,385.34M,0.19%
2019년 11월 29일,2087.96,2125.53,2125.53,2085.1,433.26M,-1.45%
2019년 11월 28일,2118.6,2116.93,2127.75,2116.58,335.23M,-0.43%
2019년 11월 27일,2127.85,2134.47,2136.3,2118.07,367.80M,0.31%
2019년 11월 26일,2121.35,2129.27,2139.64,2120.85,532.60M,-0.10%
2019년 11월 25일,2123.5,2117.14,2130.04,2116.07,397.68M,1.02%
2019년 11월 22일,2101.96,2098.89,2106.42,2093.99,519.85M,0.26%
2019년 11월 21일,2096.6,2123.65,2125.36,2088.19,579.55M,-1.35%
2019년 11월 20일,2125.32,2140.06,2145.97,2123.8,581.06M,-1.30%
2019년 11월 19일,2153.24,2151.04,2154.41,2137.01,826.88M,-0.34%
2019년 11월 18일,2160.69,2161.89,2165.89,2151.97,489.23M,-0.07%
2019년 11월 15일,2162.18,2137.96,2165.02,2135.26,556.25M,1.07%
2019년 11월 14일,2139.23,2127.54,2139.23,2121.32,521.11M,0.79%
2019년 11월 13일,2122.45,2132.48,2133.37,2118.67,664.36M,-0.86%
2019년 11월 12일,2140.92,2131.26,2140.94,2121.8,610.43M,0.79%
2019년 11월 11일,2124.09,2139.07,2139.07,2119.07,617.27M,-0.61%
2019년 11월 08일,2137.23,2154.18,2155.94,2133.75,574.13M,-0.33%
2019년 11월 07일,2144.29,2141.05,2147.01,2135.45,425.66M,0.01%
2019년 11월 06일,2144.15,2142.69,2156.23,2138.83,410.08M,0.07%
2019년 11월 05일,2142.64,2133.66,2143.12,2128.7,400.64M,0.58%
2019년 11월 04일,2130.24,2111.32,2130.83,2111.32,476.26M,1.43%
2019년 11월 01일,2100.2,2084.79,2100.42,2081.53,418.31M,0.80%
2019년 10월 31일,2083.48,2089.22,2103.71,2083.48,461.32M,0.15%
2019년 10월 30일,2080.27,2093.51,2093.51,2075.54,415.55M,-0.59%
2019년 10월 29일,2092.69,2103.92,2105.17,2088.04,357.66M,-0.04%
2019년 10월 28일,2093.6,2096.67,2104.39,2089.76,269.23M,0.27%
2019년 10월 25일,2087.89,2091.16,2091.24,2079.3,348.69M,0.11%
2019년 10월 24일,2085.66,2089.85,2089.85,2067.9,367.72M,0.24%
2019년 10월 23일,2080.62,2086.81,2088.25,2074.88,429.45M,-0.39%
2019년 10월 22일,2088.86,2076.29,2093.81,2073.08,504.06M,1.16%
2019년 10월 21일,2064.84,2067.97,2067.97,2059.33,606.11M,0.20%
2019년 10월 18일,2060.69,2082.23,2088.54,2057.89,516.69M,-0.83%
2019년 10월 17일,2077.94,2081.76,2087.15,2072.49,314.18M,-0.23%
2019년 10월 16일,2082.83,2080.92,2090.01,2073.8,524.54M,0.71%
2019년 10월 15일,2068.17,2064.78,2073.21,2064.34,464.53M,0.04%
2019년 10월 14일,2067.4,2068.13,2075.1,2065.53,511.22M,1.11%
2019년 10월 11일,2044.61,2048.08,2053.94,2040.48,381.15M,0.81%
2019년 10월 10일,2028.15,2030.13,2040.88,2010.9,445.85M,-0.88%
2019년 10월 08일,2046.25,2029.37,2046.81,2024.63,437.52M,1.21%
2019년 10월 07일,2021.73,2031.53,2034.94,2016.19,322.18M,0.05%
2019년 10월 04일,2020.69,2028.4,2039.43,2020.69,402.94M,-0.55%
2019년 10월 02일,2031.91,2058.23,2058.23,2031.91,414.46M,-1.95%
2019년 10월 01일,2072.42,2062.44,2077.48,2057.91,389.34M,0.45%
2019년 09월 30일,2063.05,2045.77,2064.99,2042.01,327.62M,0.64%
2019년 09월 27일,2049.93,2066.96,2066.96,2044.75,285.94M,-1.19%
2019년 09월 26일,2074.52,2082.66,2087.33,2064.34,430.58M,0.05%
2019년 09월 25일,2073.39,2093.47,2095.27,2072.41,651.55M,-1.32%
2019년 09월 24일,2101.04,2090.19,2101.63,2085.91,535.77M,0.45%
2019년 09월 23일,2091.7,2087.7,2095.54,2085.6,420.95M,0.01%
2019년 09월 20일,2091.52,2080.86,2092.37,2077.3,589.92M,0.54%
2019년 09월 19일,2080.35,2070.53,2089.81,2070.53,493.04M,0.46%
2019년 09월 18일,2070.73,2064.42,2075.63,2058.52,613.15M,0.41%
2019년 09월 17일,2062.33,2058.72,2066.33,2055.17,508.00M,0.01%
2019년 09월 16일,2062.22,2056.26,2062.22,2044.8,493.52M,0.64%
2019년 09월 11일,2049.2,2043.72,2050.8,2040.04,429.08M,0.84%
2019년 09월 10일,2032.08,2024.79,2034.28,2021.58,504.39M,0.62%
2019년 09월 09일,2019.55,2013.38,2029.8,2013.28,511.82M,0.52%
2019년 09월 06일,2009.13,2016.11,2017.2,2005.69,384.44M,0.22%
2019년 09월 05일,2004.75,1993.62,2015.39,1992.51,488.07M,0.82%
2019년 09월 04일,1988.53,1962.43,1988.53,1962.08,348.72M,1.16%
2019년 09월 03일,1965.69,1966.5,1976.37,1960.15,342.08M,-0.18%
2019년 09월 02일,1969.19,1961.19,1973.25,1958.59,262.15M,0.07%
2019년 08월 30일,1967.79,1951.66,1971.21,1951.3,317.73M,1.78%
2019년 08월 29일,1933.41,1943.55,1947.15,1928.49,285.10M,-0.40%
2019년 08월 28일,1941.09,1929.96,1943.62,1926.43,284.34M,0.86%
2019년 08월 27일,1924.6,1928.98,1937.42,1919.28,427.04M,0.43%
2019년 08월 26일,1916.31,1915.34,1924.49,1909.92,324.85M,-1.64%
2019년 08월 23일,1948.3,1942.42,1953.85,1940.6,381.09M,-0.14%
2019년 08월 22일,1951.01,1966.6,1967.96,1951.01,435.56M,-0.69%
2019년 08월 21일,1964.65,1954.57,1971.12,1954.47,391.57M,0.22%
2019년 08월 20일,1960.25,1942.99,1964.16,1937.53,463.60M,1.05%
2019년 08월 19일,1939.9,1936.64,1943.09,1931.44,481.02M,0.66%
2019년 08월 16일,1927.17,1921.49,1927.7,1911.72,421.68M,-0.58%
2019년 08월 14일,1938.37,1946.18,1952.22,1937.23,699.59M,0.65%
2019년 08월 13일,1925.83,1928.76,1937.68,1923.58,660.04M,-0.85%
2019년 08월 12일,1942.29,1941.53,1949.19,1933.25,427.14M,0.23%
2019년 08월 09일,1937.75,1940.06,1946.94,1936.14,654.34M,0.89%
2019년 08월 08일,1920.61,1926.28,1937.95,1915.81,777.16M,0.57%
2019년 08월 07일,1909.71,1925.33,1929.29,1901.61,760.78M,-0.41%
2019년 08월 06일,1917.5,1900.36,1948.53,1891.81,739.59M,-1.51%
2019년 08월 05일,1946.98,1985.93,1987.64,1945.39,639.60M,-2.56%
2019년 08월 02일,1998.13,1995.31,2005.31,1987.12,438.54M,-0.95%
2019년 08월 01일,2017.34,2015.09,2032.23,2009.33,461.74M,-0.36%
2019년 07월 31일,2024.55,2036.46,2041.16,2010.95,589.39M,-0.69%
2019년 07월 30일,2038.68,2035.32,2044.59,2032.61,547.03M,0.45%
2019년 07월 29일,2029.48,2059.13,2063.13,2025.01,608.67M,-1.78%
2019년 07월 26일,2066.26,2063.35,2068.16,2054.64,589.07M,-0.40%
2019년 07월 25일,2074.48,2085.67,2088.81,2061.08,598.63M,-0.38%
2019년 07월 24일,2082.3,2097.16,2105.68,2080.66,851.39M,-0.91%
2019년 07월 23일,2101.45,2095.76,2106.39,2095.38,648.12M,0.39%
2019년 07월 22일,2093.34,2090.35,2099.34,2087.51,332.63M,-0.05%
2019년 07월 19일,2094.36,2080.21,2096.73,2076.51,394.90M,1.35%
2019년 07월 18일,2066.55,2068.66,2073.2,2061.33,446.64M,-0.31%
2019년 07월 17일,2072.92,2079.91,2080.01,2063.49,761.63M,-0.91%
2019년 07월 16일,2091.87,2084.46,2096.67,2078.74,682.80M,0.45%
2019년 07월 15일,2082.48,2083.39,2088.34,2073.1,463.52M,-0.20%
2019년 07월 12일,2086.66,2083.53,2090.43,2077.35,403.94M,0.29%
2019년 07월 11일,2080.58,2070.59,2088.24,2070.21,376.68M,1.06%
2019년 07월 10일,2058.78,2061.55,2068.2,2056.48,355.68M,0.33%
2019년 07월 09일,2052.03,2070.35,2075.3,2052.03,440.12M,-0.59%
2019년 07월 08일,2064.17,2091.91,2092.54,2063.78,515.95M,-2.20%
2019년 07월 05일,2110.59,2111,2115.43,2096.23,459.39M,0.09%
2019년 07월 04일,2108.73,2102.36,2108.8,2088.97,446.93M,0.61%
2019년 07월 03일,2096.02,2120.75,2127.71,2093.32,522.71M,-1.23%
2019년 07월 02일,2122.02,2122.07,2130.86,2112.52,460.83M,-0.36%
2019년 07월 01일,2129.74,2147.24,2147.24,2126.87,412.29M,-0.04%
2019년 06월 28일,2130.62,2135.06,2139.24,2123.97,537.27M,-0.17%
2019년 06월 27일,2134.32,2120.73,2141.27,2118.22,644.90M,0.59%
2019년 06월 26일,2121.85,2120.2,2128.25,2115.72,736.85M,0.01%
2019년 06월 25일,2121.64,2125.74,2136.24,2115.11,643.00M,-0.22%
2019년 06월 24일,2126.33,2130.32,2134.48,2123.88,669.64M,0.03%
2019년 06월 21일,2125.62,2132.38,2132.68,2120.15,692.03M,-0.27%
2019년 06월 20일,2131.29,2121.78,2131.77,2120.42,1.01B,0.31%
2019년 06월 19일,2124.78,2119.54,2126.74,2117.64,862.98M,1.24%
2019년 06월 18일,2098.71,2089.31,2103.02,2089.31,600.96M,0.38%
2019년 06월 17일,2090.73,2091.71,2103.59,2087.25,561.55M,-0.22%
2019년 06월 14일,2095.41,2096.32,2103.02,2087.47,473.37M,-0.37%
2019년 06월 13일,2103.15,2104.46,2108.01,2081.92,553.39M,-0.27%
2019년 06월 12일,2108.75,2111.66,2118.89,2104.41,693.51M,-0.14%
2019년 06월 11일,2111.81,2096.09,2114.57,2094.6,550.74M,0.59%
2019년 06월 10일,2099.49,2087.37,2099.65,2075.51,457.64M,1.31%
2019년 06월 07일,2072.33,2070.78,2081.16,2057.97,368.39M,0.16%
2019년 06월 05일,2069.11,2084.16,2086.49,2065.71,380.16M,0.10%
2019년 06월 04일,2066.97,2066.78,2072.19,2060.98,435.99M,-0.04%
2019년 06월 03일,2067.85,2031.03,2070.58,2029.17,387.14M,1.28%
2019년 05월 31일,2041.74,2029.03,2048.9,2022.97,439.18M,0.14%
2019년 05월 30일,2038.8,2024.33,2040.66,2023.91,461.85M,0.77%
2019년 05월 29일,2023.32,2046.71,2046.71,2016.25,380.89M,-1.25%
2019년 05월 28일,2048.83,2044.77,2058.42,2038.52,494.48M,0.23%
2019년 05월 27일,2044.21,2044.25,2055.13,2035.87,351.62M,-0.05%
2019년 05월 24일,2045.31,2047.3,2057.38,2035.98,480.65M,-0.69%
2019년 05월 23일,2059.59,2063.25,2065.86,2046.82,509.27M,-0.26%
2019년 05월 22일,2064.86,2068.65,2070.8,2048.01,509.97M,0.18%
2019년 05월 21일,2061.25,2056.95,2076.47,2053.69,526.86M,0.27%
2019년 05월 20일,2055.71,2066.53,2077.1,2051.69,640.20M,-0.00%
2019년 05월 17일,2055.8,2081.57,2082.83,2053.79,537.38M,-0.58%
2019년 05월 16일,2067.69,2094.88,2095.58,2062.44,745.16M,-1.20%
2019년 05월 15일,2092.78,2081.92,2100.01,2076.46,577.79M,0.53%
2019년 05월 14일,2081.84,2060.24,2093.41,2056.74,696.20M,0.14%
2019년 05월 13일,2079.01,2091.8,2101.09,2077.72,505.75M,-1.38%
2019년 05월 10일,2108.04,2118.42,2124.92,2090.39,714.77M,0.29%
2019년 05월 09일,2102.01,2159.79,2164.98,2102.01,743.51M,-3.04%
2019년 05월 08일,2168.01,2151.34,2179.34,2151.34,456.33M,-0.41%
2019년 05월 07일,2176.99,2172.39,2179.51,2160.44,484.10M,-0.88%
2019년 05월 03일,2196.32,2209.44,2211.36,2192.36,617.88M,-0.74%
2019년 05월 02일,2212.75,2192.94,2217.03,2191.3,369.06M,0.42%
2019년 04월 30일,2203.59,2213.43,2215.77,2186.33,381.41M,-0.58%
2019년 04월 29일,2216.43,2183.41,2216.43,2181.82,380.82M,1.70%
2019년 04월 26일,2179.31,2178.13,2186.52,2168.15,570.17M,-0.51%
2019년 04월 25일,2190.5,2195.47,2200.89,2187.44,441.14M,-0.48%
2019년 04월 24일,2201.03,2229.75,2229.75,2190.29,575.10M,-0.88%
2019년 04월 23일,2220.51,2217.61,2223.92,2212.14,481.18M,0.17%
2019년 04월 22일,2216.65,2218.5,2227.94,2207.25,493.98M,0.02%
2019년 04월 19일,2216.15,2223.42,2225.37,2215.58,525.26M,0.11%
2019년 04월 18일,2213.77,2248.8,2250.11,2210.43,573.34M,-1.43%
2019년 04월 17일,2245.89,2249.05,2252.05,2242.01,452.47M,-0.12%
2019년 04월 16일,2248.63,2241.06,2249.89,2235.72,569.06M,0.26%
2019년 04월 15일,2242.88,2242.31,2251.22,2240.29,404.16M,0.42%
2019년 04월 12일,2233.45,2221.1,2233.45,2212.88,449.63M,0.41%
2019년 04월 11일,2224.44,2227.69,2230.41,2217.18,402.02M,0.00%
2019년 04월 10일,2224.39,2206.2,2225.02,2203.82,399.69M,0.49%
2019년 04월 09일,2213.56,2212.32,2221.62,2203.54,414.81M,0.13%
2019년 04월 08일,2210.6,2217.66,2217.87,2202.49,347.91M,0.04%
2019년 04월 05일,2209.61,2206.36,2214.82,2205.26,517.15M,0.14%
2019년 04월 04일,2206.53,2201.04,2216.15,2198.66,431.01M,0.15%
2019년 04월 03일,2203.27,2176.81,2203.29,2172.83,358.64M,1.20%
2019년 04월 02일,2177.18,2177.2,2181.37,2171.84,257.45M,0.41%
2019년 04월 01일,2168.28,2153.31,2171.49,2153.31,263.31M,1.29%
2019년 03월 29일,2140.67,2138.45,2143.3,2124.07,364.62M,0.59%
2019년 03월 28일,2128.1,2131.25,2136.4,2120.93,288.04M,-0.82%
2019년 03월 27일,2145.62,2147.19,2152.91,2132.42,363.17M,-0.15%
2019년 03월 26일,2148.8,2152.98,2153.9,2143.63,301.25M,0.18%
2019년 03월 25일,2144.86,2158.8,2159.25,2143.7,307.07M,-1.92%
2019년 03월 22일,2186.95,2192.72,2195.42,2178.77,333.62M,0.09%
2019년 03월 21일,2184.88,2183.11,2200.32,2173.7,342.75M,0.36%
2019년 03월 20일,2177.1,2171.41,2177.19,2152.21,317.61M,-0.02%
2019년 03월 19일,2177.62,2183.03,2183.76,2171.05,319.70M,-0.09%
2019년 03월 18일,2179.49,2179.69,2183.9,2172.34,257.95M,0.16%
2019년 03월 15일,2176.11,2152.96,2181.77,2152.59,387.14M,0.95%
2019년 03월 14일,2155.68,2154.35,2158.34,2142.31,341.01M,0.34%
2019년 03월 13일,2148.41,2152.66,2154.11,2134.16,285.60M,-0.41%
2019년 03월 12일,2157.18,2154.61,2161.69,2150.96,355.28M,0.89%
2019년 03월 11일,2138.1,2140.29,2145.31,2125.54,272.10M,0.03%
2019년 03월 08일,2137.44,2152.8,2159.67,2137.44,313.31M,-1.31%
2019년 03월 07일,2165.79,2173.19,2181.19,2155.19,292.58M,-0.45%
2019년 03월 06일,2175.6,2177.11,2179.01,2168.46,328.94M,-0.17%
2019년 03월 05일,2179.23,2183.35,2185.74,2171.33,313.14M,-0.52%
2019년 03월 04일,2190.66,2210.97,2216.02,2188.56,373.17M,-0.22%
2019년 02월 28일,2195.44,2231.58,2233.93,2195.44,510.02M,-1.76%
2019년 02월 27일,2234.79,2234.46,2237.77,2228.16,301.51M,0.37%
2019년 02월 26일,2226.6,2230.37,2235.7,2221.76,331.96M,-0.27%
2019년 02월 25일,2232.56,2241.13,2241.76,2224.64,339.23M,0.09%
2019년 02월 22일,2230.5,2222.32,2230.5,2217.08,409.31M,0.08%
2019년 02월 21일,2228.66,2224.26,2234.31,2213.19,382.51M,-0.05%
2019년 02월 20일,2229.76,2216.74,2234.68,2213.83,374.34M,1.09%
2019년 02월 19일,2205.63,2208.96,2213.87,2193.34,389.09M,-0.24%
2019년 02월 18일,2210.89,2207.36,2217.32,2203,314.37M,0.67%
2019년 02월 15일,2196.09,2210.94,2210.94,2187.71,400.59M,-1.34%
2019년 02월 14일,2225.85,2195.92,2225.85,2186.09,573.36M,1.11%
2019년 02월 13일,2201.48,2200,2203.71,2194.75,421.99M,0.50%
2019년 02월 12일,2190.47,2182.71,2195.05,2178.59,429.94M,0.45%
2019년 02월 11일,2180.73,2180.54,2181.58,2167.36,406.06M,0.17%
2019년 02월 08일,2177.05,2192.01,2192.48,2171.96,391.03M,-1.20%
2019년 02월 07일,2203.42,2215.77,2215.79,2196.77,427.84M,-0.00%
2019년 02월 01일,2203.46,2211.93,2218.78,2201.41,479.38M,-0.06%
2019년 01월 31일,2204.85,2222.88,2222.88,2201.22,545.25M,-0.06%
2019년 01월 30일,2206.2,2183.49,2206.2,2177.88,480.39M,1.05%
2019년 01월 29일,2183.36,2172.83,2183.36,2162.53,552.59M,0.28%
2019년 01월 28일,2177.3,2184.41,2188.15,2169.17,371.62M,-0.02%
2019년 01월 25일,2177.73,2147.92,2178.01,2146.64,410.00M,1.52%
2019년 01월 24일,2145.03,2127.88,2145.08,2125.48,413.65M,0.81%
2019년 01월 23일,2127.78,2108.72,2131.05,2106.74,408.60M,0.47%
2019년 01월 22일,2117.77,2126.03,2129.37,2108.91,419.44M,-0.32%
2019년 01월 21일,2124.61,2133.87,2134.17,2114.45,398.03M,0.02%
2019년 01월 18일,2124.28,2116.43,2124.5,2113.44,456.74M,0.82%
2019년 01월 17일,2107.06,2110.14,2117.43,2101.7,475.88M,0.05%
2019년 01월 16일,2106.1,2098.65,2106.35,2091.92,500.08M,0.43%
2019년 01월 15일,2097.18,2069.14,2098.01,2067.58,439.49M,1.58%
2019년 01월 14일,2064.52,2070.49,2073.94,2059.46,432.89M,-0.53%
2019년 01월 11일,2075.57,2070.36,2076.99,2063.99,380.06M,0.60%
2019년 01월 10일,2063.28,2065.73,2072.81,2057.16,382.88M,-0.07%
2019년 01월 09일,2064.71,2034.19,2068.23,2034.19,386.25M,1.95%
2019년 01월 08일,2025.27,2038.68,2042.7,2023.59,397.83M,-0.58%
2019년 01월 07일,2037.1,2034.24,2048.06,2030.9,440.19M,1.34%
2019년 01월 04일,2010.25,1992.4,2011.56,1984.53,408.99M,0.83%
2019년 01월 03일,1993.7,2011.81,2014.72,1991.65,427.98M,-0.81%
2019년 01월 02일,2010,2050.55,2053.45,2004.27,326.37M,-1.52%
2018년 12월 28일,2041.04,2036.7,2046.97,2035.41,352.68M,0.62%
2018년 12월 27일,2028.44,2032.09,2035.57,2021.39,398.02M,0.02%
2018년 12월 26일,2028.01,2028.81,2037.83,2014.28,321.50M,-1.31%
2018년 12월 24일,2055.01,2050.38,2059.94,2046.18,285.28M,-0.31%
2018년 12월 21일,2061.49,2052.7,2061.51,2049.76,311.39M,0.07%
2018년 12월 20일,2060.12,2063.7,2071.08,2047.52,421.06M,-0.90%
2018년 12월 19일,2078.84,2068.95,2080.65,2063.01,418.80M,0.81%
2018년 12월 18일,2062.11,2057.39,2074.31,2054.26,429.53M,-0.43%
