날짜,종가,오픈,고가,저가,거래량,변동 %
2004년 07월 16일,739.39,728.37,741.41,717.77,348.15M,0.91%
2004년 07월 15일,732.74,735.85,739.07,720.92,369.25M,-0.52%
2004년 07월 14일,736.57,745.43,751.6,734.85,331.12M,-1.91%
2004년 07월 13일,750.95,753.03,753.21,740.16,397.54M,0.63%
2004년 07월 12일,746.27,752.71,757.9,740.98,334.23M,-0.16%
2004년 07월 09일,747.46,745.09,751.92,741.26,309.48M,0.51%
2004년 07월 08일,743.64,753.68,759.71,743.64,346.30M,-2.39%
2004년 07월 07일,761.88,742.21,761.93,735.72,395.04M,0.45%
2004년 07월 06일,758.47,753.14,763.93,751.26,400.15M,0.23%
2004년 07월 05일,756.72,754.16,758.72,744.39,400.91M,0.17%
2004년 07월 02일,755.42,764.38,764.54,754.26,431.88M,-2.91%
2004년 07월 01일,778.03,784.85,792.77,776.35,314.99M,-0.99%
2004년 06월 30일,785.79,783.24,787.6,777.73,400.19M,0.91%
2004년 06월 29일,778.72,766.82,780.57,763.34,295.06M,1.01%
2004년 06월 28일,770.95,777.85,780.31,764.29,279.50M,-1.04%
2004년 06월 25일,779.03,763.02,780,760.57,305.36M,2.08%
2004년 06월 24일,763.13,752.64,763.42,747.51,373.28M,3.28%
2004년 06월 23일,738.93,753.28,755.88,737.23,368.50M,-1.01%
2004년 06월 22일,746.48,744.86,749.26,732.79,327.22M,-0.38%
2004년 06월 21일,749.3,745.22,758.58,743.69,376.09M,1.02%
2004년 06월 18일,741.73,751.69,754.05,732.89,379.82M,-2.42%
2004년 06월 17일,760.09,756.92,760.1,742.47,361.07M,1.03%
2004년 06월 16일,752.34,756.33,769.66,746.48,369.90M,0.03%
2004년 06월 15일,752.1,747.54,752.54,729.06,481.76M,1.80%
2004년 06월 14일,738.79,744.25,761.29,737.65,377.98M,-1.70%
2004년 06월 11일,751.53,780.16,780.41,748.34,458.72M,-3.93%
2004년 06월 10일,782.3,785.83,794.16,776.61,444.56M,-1.54%
2004년 06월 09일,794.53,816.93,820.68,794.1,603.58M,-1.83%
2004년 06월 08일,809.31,817.11,820.87,804.43,356.05M,-0.02%
